Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Cassel B., Topi H.","",[No title available],2015,"Strengthening Data Science Education Through Collaboration",,,,"","",,5,,,,"Cassel, B.; Topi, H.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85064383582
"Cassel L., Topi H.","",[No title available],2015,"Strengthening Data Science Education through Collaboration",,,,"","",,1,,,,"Cassel, L.; Topi, H.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85103340693
"Cassel B., Topi H.","",[No title available],2015,"Strengthening Data Science Education Through Collaboration. Rep. on Workshop on Data Science Education Funded by the Natl. Sci. Found., Oct",,,,"3","5",,1,,,,"Cassel, B.; Topi, H.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85015256122
"Turek D., Suen A., Clark D.","",[No title available],2015,"Pushing Data Science Education into the Real World",,,,"","",,1,,,,"Turek, D.; Suen, A.; Clark, D.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85041443680
"Cassel B., Topi H.","",[No title available],2015,"Strengthening data science education through collaboration: Workshop report 7-27-2016",,,,"","",,,,,,"Cassel, B.; Topi, H.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85147310140
"Chen Z.","","Behavior mining for big data: Promoting critical thinking in data science education",2014,"Proceedings of FEC",,,,"337","341",,1,,,,"Chen, Z.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85111953857
"Finzer W.","","The data science education dilemma",2013,"Technology Innovations in Statistics Education","7","2",,"1","9",,54,,,,"Finzer, W.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-84952785637
"Finzer W.","",[No title available],2013,"The data science education dilemma",,,,"","",,1,,,,"Finzer, W.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85021124000
"Finzer W.","",[No title available],2012,"The data science education dilemma",,,,"","",,1,,,,"Finzer, W.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85027690920
"He Q. P., Wang J., Mao S., Parson L., Liu B., Zeng P., Smith A., Henry D.","","Real data and application based data science education in engineering",0000,"Proc. Proceedings of 2020 ASEE-SE Conference",,,,"","",,1,,,,"He, Q. P.; Wang, J.; Mao, S.; Parson, L.; Liu, B.; Zeng, P.; Smith, A.; Henry, D.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85142528574
"He Q. P., Wang J., Mao S., Parson L., Liu B., Zeng P., Smith A., Henry D.","","Data-enabled engineering projects (deeps) modules for data science education in engineering",0000,"Proc. Proceedings of 2020 ASEE-SE Conference",,,,"","",,1,,,,"He, Q. P.; Wang, J.; Mao, S.; Parson, L.; Liu, B.; Zeng, P.; Smith, A.; Henry, D.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85142526345
"Mikroyannidis A., Domingue J., Phethean C.","",[No title available],0000,"Designing and delivering a curriculum for data science education across Europe",,,,"","",,1,,,,"Mikroyannidis, A.; Domingue, J.; Phethean, C.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85056509399
[No author name available],[No author id available],[No title available],0000,"Computational and Data Science Education Competencies",,,,"","",,1,,,,"",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85141526388
"Kahn J.","","Learning at the intersection of self and society: The family geobiography as a context for data science education",0000,"Journal of the Learning Sciences Special Issue: Situating Data Science",,,,"","",,1,,,,"Kahn, J.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85073389324
[No author name available],[No author id available],[No title available],0000,"Strategy for Strengthening Data Science Education in Universities",,,,"","",,1,,,,"",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85051516682
[No author name available],[No author id available],[No title available],0000,"Data Science Training and Data Science Education-Eu",,,,"","",,2,,,,"",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85070550970
[No author name available],[No author id available],"IndigiData-Indigenous data science education",0000,"IndigiData",,,,"","",,1,,,,"",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85134882742
[No author name available],[No author id available],[No title available],0000,"Statistics and Data Science Education","29","1",,"4","21",,1,,,,"",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85134037851
"Mike K., Hazzan O.","","Ten challenges of data science education",0000,"Commun. ACM",,,,"","",,2,,,,"Mike, K.; Hazzan, O.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85087868725
"Bargagliotti A.","",[No title available],0000,"GAISE II report: Pre-K-12 Guildelines for Assessment and Instruction in Statistics Education II: A Framework for Statistics and Data Science Education. American Statistical Association, 2020",,,,"","",,1,,,,"Bargagliotti, A.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85108542283
[No author name available],[No author id available],[No title available],0000,"2015 Cassel, Lillian (Boots) and Heikki Topi Strengthening Data Science Education Through Collaboration",,,,"","",,1,,,,"",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85086474388
[No author name available],[No author id available],[No title available],0000,"Data Science Education Program",,,,"","",,1,,,,"",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85045277946
"Assembly G.","",[No title available],0000,"Data Science Education Lags behind in Diversity",,,,"","",,1,,,,"Assembly, G.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85147797144
"Van Dusen E., Suen A., Carson C.","","Innovation in undergraduate data science education",0000,"Proceedings of the 51st ACM Technical Symposium on Computer Science Education, Ser. SIGCSE'20",,,,"1397","",,2,,,,"Van Dusen, E.; Suen, A.; Carson, C.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85098566398
